id,file_name,file_path,font_style,createdAt,updatedAt
1,01-bg_aesthetic_flower.png,./background/01-bg_nature_lotus.png,style-text-dark,2026-01-07T21:54:14.705Z,2026-01-16T21:20:48.845Z
2,02-bg_aesthetic_bamboo.png,./background/02-bg_nature_bamboo.png,style-text-dark,2026-01-07T21:55:06.465Z,2026-01-16T21:20:54.847Z
3,03-bg_aesthetic_plum.png,./background/03-bg_nature_plum.png,style-text-dark,2026-01-07T21:55:38.261Z,2026-01-16T21:21:01.645Z
4,04-bg_aesthetic_orchid.png,./background/04-bg_nature_orchid.png,style-text-dark,2026-01-07T21:55:52.631Z,2026-01-16T21:21:08.438Z
5,05-bg_aesthetic_willow.png,./background/05-bg_nature_willow.png,style-text-dark,2026-01-07T21:56:05.935Z,2026-01-16T21:21:14.989Z
6,06-bg_wuxia_dragon.png,./background/06-bg_wuxia_dragon.png,style-text-light,2026-01-07T21:56:24.435Z,2026-01-08T00:31:57.522Z
7,07-bg_wuxia_fire.png,./background/07-bg_wuxia_fire.png,style-text-light,2026-01-07T21:56:37.150Z,2026-01-08T04:47:09.783Z
8,08-bg_wuxia_sword.png,./background/08-bg_wuxia_sword.png,style-text-dark,2026-01-07T21:56:51.262Z,2026-01-08T04:45:33.156Z
9,09-bg_wuxia_phoenix.png,./background/09-bg_wuxia_phoenix.png,style-text-dark,2026-01-07T21:57:04.367Z,2026-01-08T04:47:37.655Z
10,10-bg_wuxia_dark.png,./background/10-bg_wuxia_dark.png,style-text-light,2026-01-07T21:57:15.275Z,2026-01-08T00:32:13.175Z
11,11-bg_history_scrolls.png,./background/11-bg_history_scrolls.png,style-text-dark,2026-01-07T21:57:33.969Z,2026-01-08T00:32:16.526Z
12,12-bg_history_architecture.png,./background/12-bg_history_architecture.png,style-text-dark,2026-01-07T21:57:46.544Z,2026-01-08T00:32:19.903Z
13,13-bg_history_republic.png,./background/13-bg_history_republic.png,style-text-dark,2026-01-07T21:57:57.071Z,2026-01-08T00:32:24.174Z
14,14-bg_zodiac_horse.png,./background/14-bg_zodiac_horse.png,style-text-dark,2026-01-07T21:58:12.755Z,2026-01-08T00:32:28.093Z
15,15-bg_zodiac_fortune.png,./background/15-bg_zodiac_fortune.png,style-text-dark,2026-01-07T21:58:29.362Z,2026-01-08T04:46:16.358Z
16,16-bg_zodiac_snake.png,./background/16-bg_zodiac_snake.png,style-text-dark,2026-01-07T21:58:54.108Z,2026-01-08T04:46:14.764Z
17,02-bg_aesthetic_sky.png,./background/02-bg_nature_bamboo.png,style-text-light,2026-01-16T21:22:30.548Z,2026-01-16T21:23:04.557Z
18,03-bg_aesthetic_water.png,./background/02-bg_nature_bamboo.png,style-text-dark,2026-01-16T21:23:09.898Z,2026-01-16T21:23:26.012Z
